m       Length  SuperLattice
1       0       6.52
11      1       49.09
21      2       91.77
31      2       134.44
41      3       177.12
51      4       219.79
61      5       262.47
71      6       305.15
81      6       347.83
91      7       390.50
101     8       433.18
111     9       475.86
121     9       518.54
131     10      561.21
141     11      603.89
151     12      646.57
161     12      689.25
171     13      731.92
181     14      774.60
191     15      817.28
201     16      859.96
211     16      902.63
221     17      945.31
231     18      987.99
241     19      1030.67
251     19      1073.35
261     20      1116.02
271     21      1158.70
281     22      1201.38
291     22      1244.06
